FacilityReportID;ReportingYear;PollutantName;MTonnes;FacilityName;City;CountryName;latitude;longitude;NACEMainEconomicActivityName;TotalQuantity;UnitName
171913;2007;Carbon monoxide (CO);0.00155;Považská cementáre? a.s. - Výroba cementu;Ladce;Slovakia;49.033025;18.292761;Manufacture of cement;1550000;kilogram
171921;2007;Carbon monoxide (CO);0.00293;Dolvap s.r.o. - Výroba vápna;Varín;Slovakia;49.200126;18.847665;Manufacture of lime and plaster;2930000;kilogram
171960;2008;Carbon monoxide (CO);0.00207;Calmit s.r.o.-Výroba vápna a lom vápenca;Žirany;Slovakia;48.383104;18.164681;Manufacture of lime and plaster;2070000;kilogram
171963;2008;Carbon monoxide (CO);0.000563;Wienerberger - Slovenské tehelne s.r.o.;Boleráz;Slovakia;48.466933;17.501517;Manufacture of bricks, tiles and construction products, in baked clay;563000;kilogram
171984;2008;Carbon monoxide (CO);0.00156;Holcim (Slovensko), a.s. - Výroba cementu;Rohožník;Slovakia;48.458203;17.189656;Manufacture of cement;1560000;kilogram
172037;2008;Carbon monoxide (CO);0.000558;Slovmag a.s.;Lubeník;Slovakia;48.648776;20.202112;Manufacture of refractory products;558000;kilogram
172048;2008;Carbon monoxide (CO);0.0136;Slovalco a.s.;Žiar nad Hronom;Slovakia;48.578257;18.865102;Aluminium production;13600000;kilogram
172061;2008;Carbon monoxide (CO);0.00343;Calmit s.r.o. - Výroba vápna;Tisovec;Slovakia;48.689294;19.945139;Manufacture of lime and plaster;3430000;kilogram
172064;2008;Carbon monoxide (CO);0.00173;Slovenské magnezitové závody a.s. - Výroba magnezitového slinku v rota?ných šachtových peciach;Jelšava;Slovakia;48.647483;20.223414;Manufacture of refractory products;1730000;kilogram
172079;2008;Carbon monoxide (CO);0.0912;U.S.Steel s.r.o.;Košice;Slovakia;48.617783;21.198325;Manufacture of basic iron and steel and of ferro-alloys;91200000;kilogram
172085;2008;Carbon monoxide (CO);0.000676;Bukocel a.s.;Hencovce;Slovakia;48.860594;21.736292;Manufacture of pulp;676000;kilogram
172096;2008;Carbon monoxide (CO);0.00262;Kovohuty s.r.o.;Krompachy;Slovakia;48.922639;20.881244;Copper production;2620000;kilogram
172108;2008;Carbon monoxide (CO);0.000698;Calmit s.r.o.  -  Výroba vápna;Margecany;Slovakia;48.880635;20.998469;Manufacture of lime and plaster;698000;kilogram
172111;2008;Carbon monoxide (CO);0.000826;Slovenské elektrárne  a.s. -  EVO I;Vojany;Slovakia;48.5525;21.972625;Production of electricity;826000;kilogram
172113;2008;Carbon monoxide (CO);0.00283;Carmeuse Slovakia-Závod vápenka Košice;Košice;Slovakia;48.623825;21.207053;Manufacture of lime and plaster;2830000;kilogram
172134;2008;Carbon monoxide (CO);0.00142;OFZ a.s. Istebné - prevádzka Široká;Oravský Podzámok;Slovakia;49.264689;19.369947;Manufacture of basic iron and steel and of ferro-alloys;1420000;kilogram
172139;2008;Carbon monoxide (CO);0.00186;Cemmac a.s. - Výroba cementu;Horné Srnie;Slovakia;48.997314;18.103758;Manufacture of cement;1860000;kilogram
172153;2008;Carbon monoxide (CO);0.00197;Považská cementáre? a.s. - Výroba cementu;Ladce;Slovakia;49.033025;18.292761;Manufacture of cement;1970000;kilogram
172160;2008;Carbon monoxide (CO);0.00181;Dolvap s.r.o. - Výroba vápna;Varín;Slovakia;49.200126;18.847665;Manufacture of lime and plaster;1810000;kilogram
172164;2008;Carbon monoxide (CO);0.00161;Mondi SCP, a.s.   - výroba papiera a celulózy;Ružomberok;Slovakia;49.079935;19.320079;Manufacture of paper and paperboard;1610000;kilogram
175582;2007;Carbon monoxide (CO);0.00126;Kunda Nordic Tsement AS, Kunda tsemenditehas;Kunda linn;Estonia;59.496446;26.531105;Manufacture of cement;1260000;kilogram
175621;2007;Carbon monoxide (CO);0.000578;Eesti Energia Narva Elektrijaamad AS, Eesti soojuselektrijaam;Auvere küla, Vaivara vald;Estonia;59.274378;27.901244;Production of electricity;578000;kilogram
175622;2007;Carbon monoxide (CO);0.0126;Eesti Energia Õlitööstus AS, Auvere põlevkiviõlitehas;Auvere küla, Vaivara vald;Estonia;59.273228;27.895653;Manufacture of refined petroleum products;12600000;kilogram
175667;2008;Carbon monoxide (CO);0.00141;Kunda Nordic Tsement AS, Kunda tsemenditehas;Kunda linn;Estonia;59.496446;26.531105;Manufacture of cement;1410000;kilogram
175714;2008;Carbon monoxide (CO);0.016;Eesti Energia Õlitööstus AS, Auvere põlevkiviõlitehas;Auvere küla, Vaivara vald;Estonia;59.273228;27.895653;Manufacture of refined petroleum products;16000000;kilogram
175900;2007;Carbon monoxide (CO);0.000975;Elektrárna M?lník I - EM? I;Horní Po?aply;Czech Republic;50.414442;14.413238;Production of electricity;975000;kilogram
175901;2007;Carbon monoxide (CO);0.000894;Vápenka ?ertovy schody, s.r.o.;Tma?;Czech Republic;49.910194;14.057047;Manufacture of lime and plaster;894000;kilogram
176073;2007;Carbon monoxide (CO);0.000514;ŽELEZÁRNY Hrádek a. s.;Hrádek;Czech Republic;49.718047;13.645306;Manufacture of basic iron and steel and of ferro-alloys;514000;kilogram
176090;2007;Carbon monoxide (CO);0.000729;Sokolovská uhelná,právní nástupce,a.s.-zpracovatelská ?ást;Chodov u Karlových Var;Czech Republic;50.255836;12.696277;Mining of lignite;729000;kilogram
176099;2007;Carbon monoxide (CO);0.00103;CHEMOPETROL;Litvínov;Czech Republic;50.561268;13.611756;Manufacture of other organic basic chemicals;1030000;kilogram
176112;2007;Carbon monoxide (CO);0.0017;Lafarge Cement, a.s.;?ížkovice;Czech Republic;50.489444;14.044999;Manufacture of cement;1700000;kilogram
176114;2007;Carbon monoxide (CO);0.00142;Elektrárna Po?erady;Po?erady;Czech Republic;50.426579;13.677282;Production of electricity;1420000;kilogram
176148;2007;Carbon monoxide (CO);0.00138;Elektrárny Pruné?ov;Kada?;Czech Republic;50.41861;13.25861;Production of electricity;1380000;kilogram
176324;2007;Carbon monoxide (CO);0.000514;Slévárna Ferarmo;Brno;Czech Republic;49.176394;16.613593;Casting of iron;514000;kilogram
176377;2007;Carbon monoxide (CO);0.00164;závod Mokrá;Mokrá;Czech Republic;49.216388;16.771666;Manufacture of cement;1640000;kilogram
176405;2007;Carbon monoxide (CO);0.00196;Cement Hranice, akcoivá spoe?nost;Hranice;Czech Republic;49.558332;17.73861;Manufacture of cement;1960000;kilogram
176481;2007;Carbon monoxide (CO);0.00142;ŽDB GROUP a.s.;Bohumín;Czech Republic;49.892819;18.356052;Manufacture of basic iron and steel and of ferro-alloys;1420000;kilogram
176482;2007;Carbon monoxide (CO);0.0733;T?INECKÉ ŽELEZÁRNY, a.s.;T?inec;Czech Republic;49.688129;18.647246;Manufacture of basic iron and steel and of ferro-alloys;73300000;kilogram
176531;2007;Carbon monoxide (CO);0.0733;ArcelorMittal Ostrava a.s.;Ostrava;Czech Republic;49.795885;18.305734;Manufacture of basic iron and steel and of ferro-alloys;73300000;kilogram
176532;2007;Carbon monoxide (CO);0.00354;KOTOU? ŠTRAMBERK, spol. s r.o.;Ženklava;Czech Republic;49.579838;18.115913;Manufacture of lime and plaster;3540000;kilogram
176541;2007;Carbon monoxide (CO);0.0023;EVRAZ VÍTKOVICE STEEL, a.s.;Ostrava;Czech Republic;49.816245;18.256807;Manufacture of basic iron and steel and of ferro-alloys;2300000;kilogram
176586;2008;Carbon monoxide (CO);0.000826;Vápenka ?ertovy schody, s.r.o.;Tma?;Czech Republic;49.910194;14.057047;Manufacture of lime and plaster;826000;kilogram
176656;2008;Carbon monoxide (CO);0.000889;Elektrárna M?lník I - EM? I;Horní Po?aply;Czech Republic;50.414442;14.413238;Production of electricity;889000;kilogram
